Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,GC=F,PA=F,PL=F,SI=F,GC=F,PA=F,PL=F,SI=F,GC=F,PA=F,PL=F,SI=F,GC=F,PA=F,PL=F,SI=F,GC=F,PA=F,PL=F,SI=F
Date,,,,,,,,,,,,,,,,,,,,
2010-01-04,1117.699951171875,419.79998779296875,1517.300048828125,17.440000534057617,1122.300048828125,419.79998779296875,1521.699951171875,17.440000534057617,1097.0999755859375,419.79998779296875,1477.199951171875,16.8700008392334,1117.699951171875,419.79998779296875,1477.199951171875,17.440000534057617,184,0.0,163.0,28
2010-01-05,1118.0999755859375,420.3500061035156,1530.800048828125,17.7810001373291,1126.5,420.3500061035156,1521.4000244140625,17.81999969482422,1115.0,420.3500061035156,1517.4000244140625,17.575000762939453,1118.0999755859375,420.3500061035156,1530.800048828125,17.7810001373291,53,0.0,103.0,38
2010-01-06,1135.9000244140625,425.6000061035156,1552.199951171875,18.163000106811523,1139.199951171875,425.6000061035156,1557.5999755859375,18.190000534057617,1120.699951171875,425.6000061035156,1531.800048828125,17.84000015258789,1135.9000244140625,425.6000061035156,1552.199951171875,18.163000106811523,363,0.0,156.0,19
2010-01-07,1133.0999755859375,422.95001220703125,1553.0,18.33300018310547,1133.0999755859375,422.95001220703125,1553.0,18.33300018310547,1129.199951171875,422.95001220703125,1542.300048828125,18.09000015258789,1133.0999755859375,422.95001220703125,1553.0,18.33300018310547,56,0.0,4.0,7
2010-01-08,1138.199951171875,424.1499938964844,1564.5999755859375,18.45800018310547,1138.199951171875,425.0,1563.0,18.45800018310547,1122.699951171875,425.0,1557.5,18.1200008392334,1138.199951171875,424.1499938964844,1564.5999755859375,18.45800018310547,54,1.0,31.0,3
2010-01-11,1150.699951171875,430.95001220703125,1588.300048828125,18.683000564575195,1161.199951171875,430.95001220703125,1589.5,18.683000564575195,1143.0,430.95001220703125,1563.0,18.683000564575195,1150.699951171875,430.95001220703125,1588.300048828125,18.683000564575195,177,1.0,19.0,22
2010-01-12,1128.9000244140625,424.79998779296875,1573.9000244140625,18.243000030517578,1157.199951171875,424.79998779296875,1612.5,18.700000762939453,1127.199951171875,424.79998779296875,1595.0,18.243000030517578,1128.9000244140625,424.79998779296875,1573.9000244140625,18.700000762939453,51,1.0,20.0,35
2010-01-13,1136.4000244140625,423.95001220703125,1570.199951171875,18.538000106811523,1136.4000244140625,423.95001220703125,1574.5,18.538000106811523,1121.0,423.95001220703125,1557.0,18.538000106811523,1136.4000244140625,423.95001220703125,1574.5,18.538000106811523,58,1.0,17.0,15
2010-01-14,1142.5999755859375,442.79998779296875,1600.0999755859375,18.64299964904785,1145.9000244140625,442.79998779296875,1605.9000244140625,18.64299964904785,1132.800048828125,442.79998779296875,1605.9000244140625,18.64299964904785,1137.0,442.79998779296875,1600.0999755859375,18.64299964904785,81,1.0,8.0,29
2010-01-15,1130.0999755859375,447.5,1591.4000244140625,18.410999298095703,1133.4000244140625,447.5,1593.0,18.395000457763672,1127.199951171875,447.5,1590.5,18.389999389648438,1132.800048828125,447.5,1511.4000244140625,18.395000457763672,50,1.0,4.0,54
2010-01-19,1139.699951171875,461.70001220703125,1635.0999755859375,18.784000396728516,1139.699951171875,455.6000061035156,1638.5,18.784000396728516,1130.5,461.70001220703125,1613.699951171875,18.479999542236328,1139.699951171875,461.70001220703125,1635.0999755859375,18.784000396728516,22,1.0,18.0,136
2010-01-20,1112.300048828125,461.79998779296875,1611.0999755859375,17.865999221801758,1133.0,461.79998779296875,1622.9000244140625,17.865999221801758,1109.800048828125,461.79998779296875,1606.4000244140625,17.865999221801758,1123.300048828125,461.79998779296875,1611.0999755859375,17.865999221801758,28,1.0,13.0,6
2010-01-21,1102.699951171875,453.70001220703125,1587.0999755859375,17.496000289916992,1107.5,453.70001220703125,1588.300048828125,17.496000289916992,1090.199951171875,453.70001220703125,1588.300048828125,17.496000289916992,1102.699951171875,453.70001220703125,1587.0999755859375,17.496000289916992,99,1.0,1.0,1
2010-01-22,1089.199951171875,439.8500061035156,1536.4000244140625,16.917999267578125,1095.4000244140625,439.8500061035156,1560.699951171875,17.139999389648438,1083.0,439.8500061035156,1530.699951171875,16.917999267578125,1089.199951171875,439.8500061035156,1536.4000244140625,16.917999267578125,58,1.0,9.0,5
2010-01-25,1095.199951171875,439.75,1540.5,17.131000518798828,1095.199951171875,439.75,1543.5,17.131000518798828,1095.199951171875,439.75,1543.4000244140625,17.131000518798828,1095.199951171875,439.75,1540.5,17.131000518798828,8,1.0,6.0,2
2010-01-26,1097.9000244140625,427.29998779296875,1522.199951171875,16.84600067138672,1097.9000244140625,427.29998779296875,1529.4000244140625,16.84600067138672,1097.9000244140625,427.29998779296875,1500.0,16.84600067138672,1097.9000244140625,427.29998779296875,1522.199951171875,16.84600067138672,4,1.0,7.0,1
